Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-02-17,Friday,TTSH,5.5,333.0,94.9,0
2023-02-17,Friday,WH,,,,0
2023-02-18,Saturday,AH,3.4,36.0,92.6,0
2023-02-18,Saturday,CGH,12.8,325.0,86.8,0
2023-02-18,Saturday,KTPH,14.6,280.0,92.8,0
2023-02-18,Saturday,NTFGH,2.5,273.0,87.9,0
2023-02-18,Saturday,NUH(A),4.7,262.0,83.4,0
2023-02-18,Saturday,SGH,2.8,312.0,84.9,0
2023-02-18,Saturday,SKH,16.7,333.0,91.5,0
2023-02-18,Saturday,TTSH,4.4,329.0,95.7,0
2023-02-18,Saturday,WH,,,,0
2023-02-19,Sunday,AH,2.5,60.0,95.0,0
2023-02-19,Sunday,CGH,15.9,333.0,87.7,0
2023-02-19,Sunday,KTPH,2.5,317.0,96.2,0
2023-02-19,Sunday,NTFGH,2.2,281.0,91.1,0
2023-02-19,Sunday,NUH(A),3.0,216.0,84.6,0
2023-02-19,Sunday,SGH,2.3,305.0,86.1,0
2023-02-19,Sunday,SKH,12.0,357.0,93.0,0
2023-02-19,Sunday,TTSH,4.8,330.0,98.6,0
2023-02-19,Sunday,WH,,,,0
2023-02-20,Monday,AH,7.5,89.0,94.7,0
2023-02-20,Monday,CGH,17.2,442.0,88.9,0
2023-02-20,Monday,KTPH,6.2,356.0,98.3,0
2023-02-20,Monday,NTFGH,7.2,423.0,92.8,0
2023-02-20,Monday,NUH(A),4.9,327.0,87.6,0
2023-02-20,Monday,SGH,6.6,367.0,88.9,0
2023-02-20,Monday,SKH,17.9,375.0,91.5,0
2023-02-20,Monday,TTSH,7.2,423.0,98.4,0
2023-02-20,Monday,WH,,,,0
2023-02-21,Tuesday,AH,4.6,72.0,94.7,0
2023-02-21,Tuesday,CGH,21.1,394.0,89.5,0
2023-02-21,Tuesday,KTPH,8.0,325.0,98.4,0
2023-02-21,Tuesday,NTFGH,20.5,351.0,92.1,0
2023-02-21,Tuesday,NUH(A),10.1,338.0,88.2,0
2023-02-21,Tuesday,SGH,12.2,322.0,90.2,0
2023-02-21,Tuesday,SKH,14.2,351.0,91.8,0
2023-02-21,Tuesday,TTSH,6.3,370.0,97.5,0
2023-02-21,Tuesday,WH,,,,0
